Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
basic,2.31456e+07,1.56375e+07,2.3556e+07,3.01797e+06,1.34864e+08,1591.8
gauss0,4.64314e+06,3.97286e+06,2.68892e+06,1.3043e+06,1.5343e+07,397.88
gauss1,3.92783e+06,3.53619e+06,2.49069e+06,663903,1.45042e+07,358.36
gauss2,4.29288e+06,3.22959e+06,2.81307e+06,595050,1.30176e+07,368.74
gauss3,5.04272e+06,4.57379e+06,2.60745e+06,1.11104e+06,1.21742e+07,319.44
