446,446,462,447,446,443,444,443,443,444,443,443,443,443,445,445,449,445,448,446,448,445,445,444,444,446,443,446,447,445,445,459,461,458,511,451,451,445,486,458,460,446,450,458,518,750,694,541,455,447
425,431,428,432,414,428,456,439,420,408,414,408,437,407,420,405,404,403,404,404,403,403,404,402,404,403,403,405,404,407,406,406,404,406,403,403,413,405,404,404,405,405,402,406,404,406,406,404,403,403
401,399,398,400,399,396,396,397,398,398,397,398,398,398,398,398,398,398,399,400,400,399,395,397,397,398,397,398,404,398,399,401,402,398,397,398,396,398,397,398,397,398,397,397,398,398,400,399,397,397
359,359,356,357,358,357,357,355,356,356,358,358,369,356,356,358,357,356,358,357,358,359,358,358,358,356,358,357,357,358,358,357,357,356,357,358,357,358,396,373,358,358,362,362,357,358,358,358,359,358
