Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,50.2487,50.3498,1.62703,46.6137,53.9458,693.86
1,50.3893,50.4439,1.76143,46.5178,55.3165,556.72
2,50.3889,50.8469,2.03182,43.6929,53.7819,532.96
3,55.7373,55.7544,2.61803,48.5553,61.004,363
