Function,Mean,Median,Standard Deviation,Range,Time
1,2021.65,2033.96,508.705,922.246-1847.33,539.02ms
2,1.63695e+08,1.62397e+08,7.88187e+07,2.19554e+07-3.07951e+08,537.38ms
3,8.55517e+08,6.06248e+08,6.99222e+08,1.11422e+08-1.06136e+09,797.36ms
4,39810.2,39710.1,12119.4,15365.6-40205.3,542.88ms
5,-23.7255,-23.6543,0.751848,-25.9981--25.4014,544.22ms
6,10.1463,10.1463,1.90735e-06,10.1463-10.1463,414.32ms
7,78.6159,79.6616,14.554,32.5732-77.191,558.96ms
8,356.823,355.068,24.2893,296.736-373.338,569.92ms
9,368.618,371.05,22.7783,294.362-390.915,625.54ms
10,-inf,-inf,inf,-3.40256e+38--3.4002e+38,406.84ms
11,6.32262,6.55024,0.776848,4.05846-5.42808,543.96ms
12,6.26646,6.44649,0.642781,4.69701-5.48436,550.02ms
13,-2.3625,-2.34099,0.323166,-3.48805--2.22059,2761.6ms
14,-2.35347,-2.30881,0.319658,-3.20363--2.61806,577ms
15,2.46366e+07,2.11211e+07,1.36423e+07,3.03804e+06-4.01646e+07,545.2ms
16,2114.87,2058.69,573.026,1027.88-1904.09,525.36ms
17,260.494,263.657,23.3051,195.032-240.637,496.36ms
18,-24.7377,-24.2826,-23.5192,-23.621--23.1858,-24.2083ms
