Run#,Result
1,-28.6143
2,6.44059
3,-9.38763
4,-28.4914
5,-33.4026
6,-47.4469
7,-31.748
8,-34.6641
9,-16.6576
10,-27.703
11,-34.0484
12,-17.6139
13,-16.7746
14,-38.6896
15,-11.0979
16,-2.36403
17,-19.0298
18,6.75288
19,-32.9934
20,-18.0898
21,-28.3674
22,-17.62
23,-33.8768
24,-28.3647
25,-19.0962
26,-25.6685
27,-50.4937
28,-37.2914
29,-26.7742
30,-41.7785
31,-40.3696
32,-29.5478
33,-14.622
34,-21.5969
35,-24.6007
36,-11.7442
37,-11.4575
38,-33.6716
39,-4.35333
40,-30.523
41,-33.9254
42,-35.7034
43,-6.84953
44,-15.387
45,-22.4875
46,-25.3903
47,-30.3683
48,-33.5014
49,-26.1939
50,-37.2358
