Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
1,-6067.54,-6026,396.64,-7467,-5340,425.58
2,-5538.16,-5488,306.079,-6641,-5075,553
3,-5340.36,-5316,346.355,-6061,-4698,412.64
4,-5840.76,-5845.5,263.624,-6537,-5318,662.66
5,-5589.44,-5546.5,301.843,-6319,-4828,813.06
6,-4914.24,-4822.5,450.765,-6238,-4117,602.5
7,-4117.96,-4055.5,270.088,-4743,-3605,856.36
8,-3992.12,-3894.5,375.701,-5033,-3472,601.52
9,-4417.9,-4406,251.964,-5157,-3932,988.34
10,-4159.18,-4085,301.408,-5024,-3758,1252.78
