Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,-7960.06,-7736.5,866.52,-10322.2,-6374.96,599.52
1,-7856.33,-7690.69,801.825,-10317.9,-6640.35,499.04
2,-7647.25,-7626.53,589.262,-9380.25,-6300.97,482.6
3,-6752.18,-6752.73,627.984,-8204.78,-5229.86,361.22
