Function,Dimension,f(x)
0,10,1746.97,2400.62,3015.44,3533.92,3588.19,3606.79,3709.11,3726.37,3902.3,3941.67,3979.02,4056.13,4118.33,4183.31,4215.39,4254.02,4272.13,4304.03,4354.63,4355.75,4374.38,4386.74,4409.55,4413.62,4470.26,4496.93,4588.35,4764.9,4845.04,4911.17,5049.01,5053.87,5139.27,5270.31,5603.05,5685.29,5923.05,5952.77,6128.37,6212.01,6233.17,6340.14,6468.55,6578.73,6627.68,6776.09,6841.81,6918.91,6923.47,7139.16,
0,20,6168.11,7397.06,7687.8,7694.18,8028.87,8044.6,8084.82,8342.99,8363.37,8428.76,8486.71,8512.48,8576.1,8769.44,8827.1,8875.84,8908.76,9025,9126.27,9143.55,9152.08,9174.99,9193.63,9239.17,9341.63,9574.7,9583.63,9711.92,9845.6,9954.05,9984.23,10157.5,10246.7,10284.3,10382.8,10460.9,10509.7,10556.3,10640.5,10743.4,11100,11187.5,11235.2,11603.5,11951.5,11951.7,12050,12333,12358.7,12929,
0,30,9855.54,10286.9,10343.7,10860.5,11152.8,11496.9,11572.2,11662,11800,11918.6,12034.4,12242.2,12386.1,12516,12608.1,12745.6,13065.7,13246.8,13458.6,13486.7,13508,13765.1,13848,13959.3,14022,14068.2,14115.4,14220.2,14228.4,14393.5,14408.6,14434.7,14490.2,14514.5,14532.2,14559.3,14667.2,14761.1,14961,15004.5,15315.3,15643.2,15832.4,15845.5,16098.4,16146.6,16653.1,17132.7,18376,20583.4,
1,10,48298.3,54752.6,70557.3,75788.6,85261.6,90887.5,103323,109515,109931,111107,112845,115925,118256,118340,118610,120087,120989,121254,123041,127968,129710,130625,133100,134205,139583,142349,143227,143567,144429,146601,149380,151663,158026,158440,162648,169317,169540,177131,179721,181317,182565,183269,186797,195098,195686,199940,203246,204646,250356,253632,
1,20,166794,175252,193354,194885,203041,205817,208713,208965,217666,220881,222532,222589,222688,225084,228003,233806,234304,234823,241692,248902,252554,255925,259001,262632,263690,270969,276418,279491,280123,285320,286669,286849,288120,291278,291422,294032,294535,301994,305334,309367,310891,314806,315430,315900,320064,325617,336864,351645,357828,403765,
1,30,259042,315282,323011,326989,328354,329962,338737,339693,340053,341869,342638,343491,343592,344778,345404,355345,360557,366568,370610,376559,384079,385777,394056,397281,397926,408158,410813,415225,417895,420327,421135,423100,424680,433798,433995,434064,436309,440442,444414,446673,463455,466084,478159,481072,483143,489863,497310,501330,509162,534028,
2,10,5.30262e+10,8.06434e+10,8.52985e+10,1.1801e+11,1.18603e+11,1.21773e+11,1.33129e+11,1.44497e+11,1.50863e+11,1.72059e+11,1.75067e+11,1.76479e+11,1.78988e+11,1.98751e+11,2.03008e+11,2.04875e+11,2.07469e+11,2.1555e+11,2.18056e+11,2.228e+11,2.25773e+11,2.2987e+11,2.31099e+11,2.34783e+11,2.37508e+11,2.45848e+11,2.47614e+11,2.48246e+11,2.49705e+11,2.60018e+11,2.6002e+11,2.95149e+11,3.01429e+11,3.28853e+11,3.31404e+11,3.45586e+11,3.66271e+11,3.69077e+11,3.82444e+11,3.85971e+11,3.94418e+11,3.97203e+11,4.13309e+11,4.28086e+11,4.44004e+11,4.44509e+11,4.53852e+11,4.60836e+11,4.87422e+11,5.17747e+11,
2,20,2.23136e+11,2.39e+11,2.65587e+11,2.86421e+11,3.04074e+11,3.079e+11,3.74093e+11,3.83901e+11,4.38294e+11,4.6034e+11,4.71468e+11,4.82198e+11,4.85338e+11,4.93761e+11,5.17925e+11,5.26376e+11,5.53777e+11,5.85033e+11,5.88856e+11,5.89483e+11,6.06544e+11,6.09871e+11,6.12885e+11,6.19563e+11,6.2894e+11,6.38218e+11,6.38452e+11,6.39161e+11,6.39161e+11,6.47091e+11,6.63566e+11,6.90407e+11,6.94536e+11,7.04866e+11,7.05681e+11,7.09813e+11,7.19938e+11,7.31164e+11,7.90636e+11,8.03373e+11,8.50384e+11,8.54539e+11,8.71299e+11,8.89957e+11,8.93142e+11,8.94527e+11,9.46069e+11,9.48656e+11,1.04732e+12,1.0972e+12,
2,30,4.38229e+11,5.18985e+11,5.70741e+11,5.72742e+11,5.82202e+11,5.82894e+11,6.12001e+11,6.39504e+11,6.51872e+11,6.58009e+11,6.88353e+11,7.19309e+11,7.35202e+11,7.35346e+11,7.52469e+11,7.80518e+11,7.80722e+11,7.84051e+11,8.0107e+11,8.36077e+11,8.49515e+11,8.58574e+11,8.61672e+11,8.6273e+11,8.75055e+11,8.8978e+11,8.90191e+11,9.055e+11,9.13572e+11,9.23561e+11,9.94621e+11,1.00095e+12,1.00292e+12,1.02157e+12,1.09191e+12,1.09457e+12,1.09698e+12,1.11261e+12,1.11743e+12,1.11784e+12,1.1484e+12,1.1572e+12,1.19266e+12,1.19342e+12,1.20617e+12,1.23342e+12,1.27844e+12,1.28495e+12,1.31072e+12,1.57389e+12,
3,10,5.30262e+10,8.06434e+10,8.52985e+10,1.1801e+11,1.18603e+11,1.21773e+11,1.33129e+11,1.44497e+11,1.50863e+11,1.72059e+11,1.75067e+11,1.76479e+11,1.78988e+11,1.98751e+11,2.03008e+11,2.04875e+11,2.07469e+11,2.1555e+11,2.18056e+11,2.228e+11,2.25773e+11,2.2987e+11,2.31099e+11,2.34783e+11,2.37508e+11,2.45848e+11,2.47614e+11,2.48246e+11,2.49705e+11,2.60018e+11,2.6002e+11,2.95149e+11,3.01429e+11,3.28853e+11,3.31404e+11,3.45586e+11,3.66271e+11,3.69077e+11,3.82444e+11,3.85971e+11,3.94418e+11,3.97203e+11,4.13309e+11,4.28086e+11,4.44004e+11,4.44509e+11,4.53852e+11,4.60836e+11,4.87422e+11,5.17747e+11,
