Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
1,183.4,183,16.1009,144,222,359.68
2,387.72,388,25.1619,304,439,467.5
3,168.14,170,9.81837,142,188,366.12
4,366.72,368,30.9277,301,458,504.22
5,910.76,924.5,93.45,641,1052,660.12
6,140.5,132.5,57.3631,45,248,512.92
7,480.08,479,31.6239,412,528,711.54
8,195.52,195,16.0975,165,234,545.52
9,390.44,388.5,46.3462,302,554,770.3
10,1430.82,1426.5,152.914,1088,1823,1037.76
