Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,-7589.33,-7493.62,851.482,-9119.13,-6347.63,678.1
1,-7794.09,-7907.32,697.305,-8940.42,-6422.15,547.8
2,-7211.11,-7032.15,755.14,-8522.56,-6389.22,522.1
3,-7458.29,-7618.91,1089.5,-9065.12,-5719.52,370
