Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
basic,-12794.2,-12547.5,988.082,-15280.5,-11389.8,2146.02
gauss0,-5645.13,-5640.4,474.101,-7111.98,-4619.97,533.86
gauss1,-3882.88,-3855.65,336.747,-4850.16,-3340.82,437.88
gauss2,-3797.86,-3710.36,419.526,-5386.72,-3111.4,421.92
gauss3,-3002.44,-2944.97,432.193,-4015.1,-2313.69,294.16
