Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
1,2.16,2,0.966644,0,4,378.12
2,3.54,4,0.698856,1,5,510.2
3,2.46,3,0.698856,1,4,375.92
4,3.44,3.5,0.778717,2,5,583.44
5,3.38,3,0.66,2,4,756.3
6,5.02,5,1.31894,1,8,541.46
7,6.44,7,0.668132,5,7,776.14
8,5.6,6,0.774597,4,7,556.38
9,6.32,6,0.545527,5,7,893.96
10,6.58,7,0.602993,5,8,1183.9
