Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
basic,17.5691,17.463,10.5636,-7.19003,41.0382,2119.8
gauss0,17.4481,17.8522,8.64625,-4.57381,35.3841,579.2
gauss1,12.7897,11.9038,8.04251,-0.790027,30.6617,457.76
gauss2,9.60244,10.2867,8.42987,-18.7279,26.184,410.7
gauss3,9.51631,11.133,11.0459,-15.8874,30.291,299.48
