Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,125.778,128.296,23.2329,87.7288,159.105,628.7
1,124.088,119.377,16.3176,93.2002,148.237,537.6
2,123.458,120.802,26.5358,71.6196,174.7,503.1
3,137.123,138.009,11.3109,119.395,151.815,387.3
