349,355,352,373,352,352,353,357,353,350,352,352,347,352,353,353,352,356,356,351,352,353,352,354,354,353,352,354,354,349,353,353,352,357,353,348,355,355,351,351,351,353,351,356,353,353,353,354,354,351
471,470,486,467,466,473,470,472,472,473,472,471,472,469,472,471,471,470,478,471,469,474,470,475,475,466,473,472,472,460,466,470,471,465,467,473,472,473,469,469,466,473,472,466,458,466,462,467,466,466
370,364,364,381,366,363,365,366,366,364,365,366,366,363,366,365,362,365,360,367,365,361,368,359,361,362,361,362,361,365,362,367,365,367,366,367,368,368,365,368,367,372,364,368,367,366,369,368,366,366
514,509,520,502,507,511,511,514,501,507,506,506,497,501,510,507,499,512,508,504,513,506,507,517,497,507,509,498,508,509,497,499,512,507,499,502,505,501,508,496,507,512,511,501,501,502,507,504,523,594
671,704,669,665,674,672,669,667,665,668,669,674,673,669,679,675,672,658,666,671,667,668,667,660,658,677,682,662,668,659,659,658,663,660,657,661,660,663,663,665,668,663,655,661,660,663,666,660,661,659
519,514,527,512,505,517,516,511,507,517,523,506,504,505,510,518,521,508,506,518,514,507,506,507,507,504,512,517,519,510,511,507,518,508,510,514,516,507,512,511,509,507,515,512,513,508,518,515,510,516
707,727,715,718,716,714,704,708,709,734,717,723,713,716,709,702,706,702,715,704,706,703,709,736,713,707,716,715,710,714,707,715,701,711,715,700,711,701,710,711,702,702,708,703,710,710,703,702,711,701
535,531,542,530,529,541,528,528,528,539,530,539,534,534,532,539,534,539,532,536,535,537,534,540,530,548,533,530,531,531,533,535,536,541,529,538,537,527,531,530,538,532,532,531,536,533,535,529,530,536
779,797,770,777,765,760,766,770,764,773,779,765,759,761,768,766,769,773,763,771,767,766,768,764,764,768,772,772,769,764,774,760,774,766,772,769,765,767,767,775,763,768,770,771,767,771,763,774,772,771
1041,1053,1052,1046,1036,1048,1043,1049,1049,1041,1044,1042,1042,1038,1048,1035,1041,1040,1040,1038,1052,1039,1042,1044,1046,1039,1046,1043,1044,1044,1042,1044,1043,1039,1041,1040,1037,1036,1042,1041,1039,1039,1039,1039,1042,1041,1041,1041,1038,1039
