Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
basic,63.649,63.3767,9.99975,44.9947,82.1508,1654.48
gauss0,60.9393,61.5391,7.35845,44.2559,78.3244,412.26
gauss1,54.665,55.2829,7.55401,41.4199,71.6279,367.48
gauss2,52.8558,52.9469,6.37478,41.6003,66.5181,357.28
gauss3,58.0249,58.0492,8.72982,36.7332,73.8833,294.38
