Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,187.107,185.949,16.9809,162.096,221.327,518.1
1,189.502,191.728,25.9566,149.04,240.542,461.7
2,181.914,186.362,20.1549,155.861,215.467,450.2
3,203.626,207.534,14.2788,172.808,221.28,366.5
