Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
basic,1087.93,1264.89,981.329,-1801.95,2565.92,1823.84
gauss0,7671.02,7758.93,425.429,6167.59,8470.32,428.82
gauss1,9074.62,9132.11,323.767,8349.26,9642.19,388
gauss2,9123.18,9125.95,234.588,8562.35,9581.41,371.6
gauss3,9549.23,9621.94,426.599,8026.82,10292.5,303.5
