Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,6464.85,6446.67,807.121,5306.78,7790.23,560.5
1,6367.89,6312.22,669.198,5206.11,7446.51,457.1
2,6766.84,6573.75,1012.76,4920.76,8283.39,444.4
3,8168.18,8043.18,496.177,7585.46,9114.9,368.9
