Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
1,80.46,77.5,29.5738,29,143,345.14
2,154.22,155,10.0405,130,172,465.1
3,44.76,46,10.5822,21,83,356.76
4,179.14,179.5,19.307,138,220,518.52
5,209.74,207.5,15.3712,158,236,677.12
6,136.44,124,56.1936,35,274,509.98
7,200.92,202.5,19.2716,140,238,710.52
8,30.58,20.5,26.8612,3,130,530.08
9,251.9,247,35.0184,193,356,793.42
10,295.82,299.5,20.6975,237,331,1057.64
