1795,1747,1723,1746,1823,1762,1759,1774,1854,1757,1971,1845,1725,1709,1717,1713,1716,1715,1729,1698,1696,1769,1826,1699,1724,1801,1777,1832,1718,1715,1688,1692,1737,1800,1811,1802,1717,1760,1797,1775,1788,1900,1750,1709,1712,1708,1710,1742,1815,2051
426,422,425,427,421,423,423,421,426,418,447,420,422,423,421,421,424,422,420,422,436,429,424,420,424,434,421,422,419,472,441,445,458,461,438,433,455,455,449,428,473,428,432,443,451,440,444,432,434,434
391,375,370,378,413,394,390,381,384,380,383,401,393,384,378,397,391,386,385,398,389,388,381,401,387,385,396,399,372,381,384,391,377,389,386,388,378,385,386,387,376,390,389,391,376,389,390,388,387,374
383,370,401,387,368,372,381,382,363,365,359,363,376,371,424,363,359,370,374,364,393,365,368,361,360,376,369,361,360,367,372,359,360,383,399,386,414,375,364,367,359,365,364,360,360,362,361,356,359,362
303,305,299,298,310,295,299,299,296,299,298,298,303,298,300,297,315,306,296,300,297,298,299,297,298,299,297,300,297,298,297,297,299,297,299,297,300,297,297,298,297,299,302,304,308,323,315,322,308,303
