Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
basic,11.6185,11.356,3.30956,4.06017,19.7802,1765.98
gauss0,6.09,6.04532,1.52392,2.92509,10.2576,432.98
gauss1,5.44217,5.14344,1.40782,2.81493,9.57782,386.64
gauss2,5.52049,5.50506,1.33302,3.2123,8.68589,371.24
gauss3,6.16549,5.72344,1.67286,3.86187,11.7753,301.06
