-4365,-4441,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-4884,-5290,-5290,-5290,-5290,-5290,-5290,-5290,-5290,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152,-6152
-5018,-5018,-5018,-5018,-5018,-5018,-5018,-5018,-5018,-5018,-5018,-5018,-5018,-5018,-5018,-5018,-5018,-5018,-5018,-5018,-5018,-5018,-5333,-5333,-5333,-5333,-5333,-5333,-5333,-5333,-5333,-5333,-5333,-5333,-5333,-5333,-5333,-5333,-5513,-5513,-5513,-5513,-5513,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5518,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754,-5754
-4364,-4364,-4364,-4364,-4364,-4364,-4830,-4830,-4830,-4830,-4830,-4885,-4885,-4885,-4885,-4885,-4885,-4885,-4885,-4885,-4885,-4885,-4885,-4885,-4885,-4885,-4885,-4885,-4885,-4885,-4885,-4885,-4885,-4885,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5357,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-5881,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305,-6305
-3338,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973,-5973
-4980,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6134,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318,-6318
-4926,-4926,-4926,-4926,-4926,-4926,-4926,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5213,-5274,-5274,-5369,-5369,-5369,-5369,-5369,-5369,-5369,-5369,-5369,-5369,-5369,-5369,-5369,-5369,-5369,-5369,-5369,-5369,-5369,-5369,-5369,-5369,-5369,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384,-6384
-4297,-4297,-4416,-4416,-4416,-4416,-4416,-4416,-4416,-4416,-4416,-4706,-4706,-4706,-4706,-4706,-4706,-4706,-4706,-4706,-4736,-4736,-4736,-4736,-4736,-4736,-4736,-4736,-4736,-4972,-4972,-4972,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5727,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-5912,-6393,-6393,-6393,-6393,-6393,-6393,-6393,-6393,-6393,-6393,-6393,-6393,-6393,-6393,-6393,-6393,-6393,-6393,-6393,-6393,-6393
-4034,-4034,-4291,-4291,-4291,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-4778,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5050,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5501,-5884,-5884,-5884,-5884,-5884,-5884,-5884,-5884,-5884,-5884,-5884,-5884,-5884,-5884,-5884,-5884,-5884,-5884,-5884,-5884,-5884,-5884
-4165,-4165,-4165,-4165,-4165,-4165,-4165,-4427,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4637,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4942,-4987,-4987,-4987,-4987,-4987,-4987,-5059,-5059,-5059,-5059,-5059,-5059,-5059,-5059,-5059,-5059,-5059,-5059,-5059,-5059,-5059,-5059,-5059,-5082,-5082,-5082,-5082,-5191
-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4698,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4964,-4988,-4988,-4988,-4988,-4988,-4988,-4988,-4988,-4988,-4988,-4988,-4988,-4988,-4988,-4988,-4988,-4988,-4988,-4988,-6063,-6063,-6063,-6063,-6063,-6063,-6063,-6063,-6063,-6063,-6063,-6063,-6063,-6063,-6063,-6063,-6063,-6063,-6063,-6063,-6063,-6063,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416,-6416
