Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
basic,221.701,221.072,19.8724,180,264.631,2207.88
gauss0,182.134,179.942,13.8731,156.513,217.592,540.32
gauss1,176.732,178.409,17.9353,136.804,213.831,438.68
gauss2,173.938,174.665,15.6316,143.755,208.23,418.6
gauss3,176.382,176.353,18.0855,136.578,220.766,300.96
