Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,358.464,358.165,22.6497,319.511,392.149,680
1,366.261,363.994,26.491,317.096,430.775,555.1
2,371.01,366.102,21.1624,341.645,414.224,531.9
3,365.896,368.035,26.4278,318.343,404.887,376.7
