395,394,394,402,395,395,393,388,399,398,401,399,397,393,398,398,392,394,398,391,389,387,399,395,380,393,395,389,384,389,395,390,384,397,396,388,394,394,390,392,392,393,393,395,399,397,400,393,392,395
517,517,528,512,517,517,508,516,518,515,514,518,515,519,515,520,518,518,517,517,517,517,512,513,521,516,512,520,521,516,512,515,519,515,518,515,512,512,516,510,515,518,516,515,520,511,511,514,515,509
394,386,394,397,388,388,390,384,386,389,386,388,393,387,385,391,390,386,386,388,387,388,392,386,381,388,385,386,388,387,391,387,390,392,387,389,385,398,385,386,390,390,387,391,389,386,388,387,382,389
592,603,603,595,586,580,581,584,604,593,590,598,602,596,593,592,595,606,582,605,590,584,602,603,593,594,592,592,586,592,590,578,589,593,597,576,601,595,580,586,594,590,594,587,580,587,574,594,590,598
756,769,753,752,744,750,746,757,744,751,755,764,754,756,739,747,752,747,746,747,738,760,754,746,753,740,756,746,761,743,754,869,748,759,754,753,751,755,751,752,751,749,759,742,749,747,755,743,748,752
588,577,617,587,587,572,584,593,561,600,598,572,585,592,574,577,561,576,582,580,591,579,577,577,591,577,593,575,575,561,585,560,579,575,590,574,588,561,558,568,566,570,597,583,584,575,586,594,572,591
781,799,789,787,775,784,791,780,786,779,783,777,771,773,785,778,777,790,779,790,789,783,782,793,782,779,781,784,787,803,795,794,789,778,781,778,780,776,784,783,786,807,785,785,782,790,789,784,786,789
569,569,576,571,573,563,566,560,556,558,557,555,568,564,562,558,571,563,556,558,560,561,561,558,559,560,558,561,556,558,564,561,563,556,565,566,562,555,564,565,558,558,570,555,553,553,559,569,563,565
920,919,933,928,935,923,922,904,930,900,900,906,934,909,925,906,931,943,922,938,917,917,914,929,928,920,903,936,923,919,876,921,927,904,913,901,884,930,888,924,928,917,936,911,947,911,914,936,922,893
1171,1192,1185,1188,1179,1178,1195,1168,1172,1182,1169,1181,1169,1171,1164,1174,1172,1195,1190,1183,1187,1196,1190,1180,1188,1191,1182,1180,1181,1176,1174,1169,1186,1169,1182,1183,1171,1170,1167,1171,1185,1177,1174,1159,1182,1172,1173,1177,1178,1172
