Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
1,-4.08,-4,0.483322,-5,-3,393.66
2,-3.36,-3,0.557136,-5,-3,515.78
3,-4.2,-4,0.489898,-6,-3,388.26
4,-3.14,-3,0.490306,-4,-2,591.62
5,-3.06,-3,0.310483,-4,-2,753.34
6,-2.48,-2,0.574108,-4,-2,580.3
7,-2.14,-2,0.346987,-3,-2,784.76
8,-2.96,-3,0.397995,-4,-2,561.78
9,-2.06,-2,0.369324,-3,-1,918.34
10,-2.08,-2,0.271293,-3,-2,1178.4
