Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,-4.35918,-4.04774,1.69383,-7.92352,-1.37987,562.64
1,-3.96697,-3.70172,1.47427,-7.93918,-1.15203,488.12
2,-3.9555,-3.8044,1.33422,-7.40199,-1.32085,471.22
3,-7.11565,-6.16264,3.78283,-20.6493,-2.15054,360.06
