397,400,405,413,399,402,400,404,402,396,397,395,394,398,391,386,401,402,404,396,403,394,404,403,392,396,395,401,396,397,398,392,393,402,400,394,397,396,396,401,402,401,401,399,399,395,395,398,401,412
528,526,534,517,523,522,518,524,523,525,527,526,522,526,520,522,523,521,525,522,523,523,524,520,522,531,536,527,524,519,526,525,529,527,523,521,522,520,515,519,519,524,526,523,519,525,518,524,527,522
400,395,400,410,395,398,396,398,401,394,396,396,398,398,398,396,398,399,398,395,397,396,393,399,392,397,402,396,397,395,396,395,397,400,398,397,400,394,394,400,398,396,401,394,401,399,399,397,399,398
596,590,608,598,592,592,600,598,591,585,588,592,588,578,578,591,587,590,588,608,594,586,596,601,606,603,597,602,617,605,591,600,591,612,593,586,585,593,594,582,575,589,595,589,588,582,599,577,599,600
766,768,759,763,758,757,742,756,754,886,849,750,753,760,757,760,753,753,762,755,757,756,746,761,757,757,756,752,761,757,760,757,751,760,746,758,751,749,758,759,745,755,761,762,748,749,760,761,744,768
571,563,586,563,572,568,567,563,573,562,571,561,576,570,570,573,562,558,567,563,564,572,563,549,561,564,553,570,547,561,611,584,583,569,564,549,554,566,569,562,562,556,549,553,575,558,551,555,564,559
791,807,787,790,788,807,789,773,774,789,775,784,789,776,785,777,793,789,789,784,782,781,786,776,783,783,793,776,781,781,782,783,783,783,777,787,786,784,783,781,785,781,790,780,779,783,784,771,795,786
570,573,584,577,568,571,572,562,572,573,570,574,578,574,573,571,571,568,567,563,570,570,564,562,570,567,567,589,572,590,578,579,572,573,574,567,573,574,573,580,569,573,573,572,584,586,568,575,572,573
903,935,909,883,910,903,925,861,905,880,890,887,902,885,917,899,884,921,890,922,897,899,890,893,896,872,900,883,895,900,906,879,898,914,901,906,897,894,861,901,904,889,885,893,880,906,915,894,866,904
1175,1178,1172,1163,1181,1177,1168,1174,1180,1168,1170,1168,1163,1160,1162,1167,1168,1178,1175,1169,1173,1175,1164,1173,1183,1163,1168,1163,1168,1161,1161,1171,1169,1175,1175,1175,1164,1167,1177,1168,1176,1165,1167,1160,1168,1160,1163,1161,1170,1168
