Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
1,-13.72,-14,0.775629,-16,-12,398.7
2,-13.34,-13,0.62,-16,-12,523.54
3,-14.08,-14,0.56,-15,-13,397.52
4,-12.92,-13,0.688186,-14,-12,593.3
5,-12.8,-13,0.565685,-14,-12,760.46
6,-12.02,-12,0.734575,-14,-11,565.12
7,-11.12,-11,0.65238,-13,-10,784.42
8,-12.42,-12,0.750733,-15,-11,572.8
9,-10.78,-11,0.729109,-13,-10,896.58
10,-10.66,-11,0.586856,-12,-10,1169.34
