Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,6510.25,7265.88,1505.2,3618.03,8682.32,449.8
1,7101.33,6598.84,1767.45,4650.72,9616.59,411.8
2,6161.41,5976.5,1255.92,4622.96,8164.82,407.5
3,7034.13,6870.14,1594.97,4615.97,10366.1,367.1
