Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,6364.61,6339.57,1318.48,3940.75,9673.02,448.92
1,6223.47,5993.88,1582.06,2496.77,10391,413.86
2,7162.75,6956.45,1720.78,4658.96,11349.2,401.74
3,6328.69,6284.31,1674.81,2896.43,10585.9,363.52
