Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
1,-26.82,-27,0.864639,-28,-25,366.06
2,-26.68,-27,0.581034,-28,-26,496.24
3,-28.08,-28,0.716659,-30,-27,362.68
4,-26.7,-26.5,0.8544,-30,-26,560.06
5,-26.34,-26,0.586856,-28,-25,738.82
6,-23.6,-23.5,0.959166,-27,-22,538.86
7,-23.54,-23,0.753923,-26,-22,759.08
8,-25,-25,0.959166,-28,-23,538.06
9,-23.14,-23,0.774855,-25,-22,868.98
10,-23.34,-23,0.681469,-25,-22,1158.52
