Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,-24.1341,-24.1496,0.702241,-25.4218,-22.785,557.5
1,-24.1681,-24.0156,0.856586,-25.6481,-22.9533,499.7
2,-23.6333,-23.4576,0.79695,-24.9383,-22.4146,488.2
3,-22.7112,-22.6223,1.40294,-25.8345,-20.994,370.9
