Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,879.921,856.363,184.324,597.681,1312.28,505.8
1,848.12,870.75,140.511,596.084,1105.49,447.7
2,879.077,828.984,141.1,697.017,1232.19,493.7
3,878.972,807.223,175.53,713.397,1218.52,375.1
