Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
basic,331.79,312.915,64.037,230.384,544.31,1946.22
gauss0,280.995,281.118,21.5007,225.532,329.612,428.78
gauss1,275.008,266.363,26.3797,233.086,347.909,386.2
gauss2,276.155,274.297,24.1272,225.02,349.621,376.96
gauss3,277.916,274.202,23.1309,229.448,334.21,317.54
