Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,-7857.57,-7983.56,510.266,-8656.08,-6999.5,608.8
1,-7560.01,-7602.5,622.746,-8537.96,-6308.63,508
2,-7881.06,-7968.45,768.083,-9165.44,-6763.61,491.1
3,-6763.57,-6663.44,851.928,-7898.48,-5192.54,369.7
