Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
1,35.98,31,12.7365,30,88,384.2
2,208.28,210,10.837,178,228,504.8
3,30.74,31,0.558928,30,32,395.28
4,216.26,217,14.7048,184,247,546.46
5,336.96,337,11.0054,300,363,701.58
6,66.24,71.5,33.2407,30,185,537.92
7,270.7,271,11.411,251,301,743.46
8,37.5,30,12.3422,30,69,564.26
9,243.62,245.5,28.7965,180,316,818.06
10,405.22,406.5,12.3374,364,433,1090.66
