Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,6641.55,6385.93,1528,4094.4,11617.2,442.52
1,6693.46,6296.68,1948.18,3499.16,13741.1,406.12
2,6812.02,6398.65,1777.23,3834.71,13885.1,400.36
3,7009.14,6767.52,1719.9,4115.11,11394.8,375.1
