Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
1,-43.58,-44,16.5917,-73,-13,368.88
2,50.3,51,7.07177,33,62,490.38
3,-20.48,-21.5,5.84205,-33,2,380.88
4,51.56,52,9.51874,26,66,522.92
5,122.3,125,12.2723,79,141,680.7
6,-53.46,-54,12.64,-74,-25,530.52
7,77.06,78,9.40725,50,92,727.12
8,-44.12,-44.5,15.7704,-75,-10,550.42
9,74.94,73,14.5484,34,106,782.22
10,181.16,183,13.4883,151,215,1048.6
