Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
basic,3.42597e+06,2.76366e+06,2.21697e+06,760168,8.52673e+06,1668.72
gauss0,775830,606891,481542,146346,2.08824e+06,418.72
gauss1,584042,535834,329795,96821.2,2.06917e+06,364.76
gauss2,691353,523965,420505,85927.6,1.85951e+06,356.5
gauss3,762281,677146,466795,72008.3,2.49487e+06,294.92
