Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,6.06604e+07,4.8013e+07,3.41013e+07,2.82353e+07,1.51894e+08,514.8
1,4.81384e+07,4.34677e+07,2.10456e+07,2.04608e+07,8.46703e+07,449.9
2,6.2609e+07,5.25453e+07,3.21236e+07,2.41573e+07,1.35702e+08,438.8
3,6.35942e+07,4.84165e+07,3.663e+07,3.36057e+07,1.59181e+08,369.1
