Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,56.5087,54.7519,15.6287,29.0794,79.8947,681.4
1,52.4811,46.306,11.918,42.5047,81.3921,547.9
2,55.7346,54.3119,9.99345,40.9412,71.3921,522.8
3,55.0944,57.3447,18.2944,27.3855,84.3454,375.2
