Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
basic,8.54,9.04002,3.04567,2.51758,14.8605,2207.1
gauss0,4.61967,4.64413,1.39778,2.50004,8.86857,553.58
gauss1,5.21365,4.92608,2.14307,1.44442,13.2173,442.22
gauss2,5.71375,5.15724,2.4024,2.11104,14.1057,423.46
gauss3,8.4039,6.9788,4.37741,2.7157,21.7341,297.78
