Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,-24.3991,-24.4361,0.835969,-26.1707,-22.5814,539.94
1,-24.3454,-24.117,0.845487,-26.7512,-23.2544,475.24
2,-24.0613,-23.8492,0.891832,-26.1156,-22.6678,462.42
3,-22.1511,-22.0648,0.809021,-23.7444,-20.4741,356.86
