Strategy,Mean,Median,Standard Deviation,Range,Time
1,1.72635e+08,1.64253e+08,4.76675e+07,9.45964e+07-1.97846e+08,540.8ms
2,9.50065e+08,9.13508e+08,2.48461e+08,3.92418e+08-1.14893e+09,417.04ms
3,2.33845e+07,2.15903e+07,9.92213e+06,7.14935e+06-1.19427e+07,577.9ms
4,5.69652e+08,5.68729e+08,1.3502e+08,2.39196e+08-4.76766e+08,700ms
5,3.15124e+09,3.14629e+09,6.11993e+08,1.19212e+09-2.664e+09,566.02ms
6,9.14195e+08,9.0689e+08,2.32793e+08,4.12507e+08-9.4662e+08,786.32ms
7,1.71085e+09,1.63254e+09,3.98414e+08,8.75914e+08-1.4471e+09,578.74ms
8,1.10965e+08,8.51262e+07,8.07999e+07,2.09654e+07-1.06885e+08,814.16ms
9,2.37789e+09,2.37331e+09,4.62333e+08,1.59645e+09-1.80044e+09,1045ms
10,1.04623e+08,2.59771e+08,1.70883e+08,2.47474e+08-1.75383e+08,1.10785e+08ms
