Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
1,2429.76,2138.5,1123.87,692,5533,378.42
2,6716.66,6718.5,256.213,5993,7187,538.44
3,6977.38,6974.5,350.304,5775,7659,381.36
4,6313.64,6313.5,331.01,5619,7101,626.02
5,6862.48,6881.5,273.613,6089,7359,789.46
6,2236.5,2225,473.109,1402,3554,519.6
7,8015.14,8115.5,317.602,7166,8549,796.28
8,7813.76,7811.5,449.894,6479,8709,559.68
9,7002.08,7074,562.477,5737,8067,926.12
10,7995.68,8050.5,269.776,7325,8430,1241.2
