Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
basic,43.0424,43.0109,2.1146,38.3917,46.8022,2280
gauss0,42.2551,42.5181,1.17864,38.5682,44.9525,568.52
gauss1,40.2375,40.2617,1.00822,38.0322,42.2373,455.7
gauss2,39.8372,39.9585,0.961172,37.0386,42.199,486.08
gauss3,41.8961,41.832,1.22126,39.3105,44.7782,311.8
