Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,894.82,897.812,157.088,580.887,1266.48,496.54
1,862.568,845.481,163.483,524.669,1248.95,523.4
2,889.513,882.715,190.069,584.168,1325.24,494.7
3,890.151,878.428,167.912,581.926,1304.24,389.42
