Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
0,-11.7299,-11.6638,0.421301,-12.4311,-11.0486,683.6
1,-12.074,-12.0536,0.410743,-12.7058,-11.4866,555.9
2,-11.9215,-11.9851,0.402731,-12.5488,-11.1992,533.5
3,-10.4746,-10.7069,0.743472,-11.7516,-9.40705,372.3
