Strategy, Mean,Median,Std,Range(low),Range(high),Time(mus)
basic,-14.1686,-13.9198,0.894458,-16.4578,-12.8318,2206.62
gauss0,-12.5577,-12.4782,0.683028,-14.6661,-11.2692,552.5
gauss1,-12.7946,-12.6722,0.5618,-14.1556,-11.9103,449.36
gauss2,-12.7797,-12.7552,0.605906,-14.2362,-11.6675,429.26
gauss3,-11.5173,-11.4541,0.708627,-13.7144,-9.93078,294.78
