Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
1,9.14,9,0.490306,8,10,334.24
2,1588.68,1603,222.705,1110,2302,450.34
3,8.98,9,0.14,8,9,349.8
4,1024.32,1011,199.421,684,1572,491.28
5,7113,7145.5,975.698,5260,8964,641.8
6,10.02,10,1.14,8,15,496.7
7,2409.6,2381.5,301.718,1506,3039,688.18
8,8.38,8,0.485386,8,9,521.1
9,943.16,896,281.37,475,1647,748.22
10,13559.6,13703.5,1569.48,8770,16087,1008.32
