48896,48896,48896,41941,41941,35364,30331,30331,30331,30331,30331,30331,30331,30331,23225,23225,23225,23225,23225,23225,23225,23225,23225,23225,21615,20429,20429,20429,20429,20429,19463,19129,19129,18865,18865,18865,18865,16536,16536,15326,15326,15326,15326,15326,15326,15326,15326,15326,15326,15326,15326,12402,12256,12256,12256,12256,12256,12256,12256,12256,12256,11279,11279,11279,11279,11279,11279,11279,11279,11279,10858,10858,10858,10858,10480,10480,10405,10405,10405,10405,10405,10405,7101,7101,7101,7101,7101,7101,7101,7101,7101,7101,7101,7101,7101,7051,7051,7051,7051,7051
55749,46281,43551,30272,30272,30272,30272,30272,30272,30272,30272,30272,30173,30173,30173,27867,27867,27867,27867,27867,27867,27867,26141,26141,16043,16043,16043,16043,16043,16043,16043,16043,16043,16043,16043,16043,16043,16043,16043,14447,14447,14447,14447,14447,14447,14447,14447,14447,14056,14056,14056,13707,13707,13707,13707,13707,13707,13707,13707,13707,13707,13707,13707,13707,12199,10579,10579,10579,10579,10579,10579,9792,9792,9792,9792,9792,9792,9792,7988,7988,7988,7988,6570,6570,6570,6317,6317,6317,6317,6317,6317,6317,6317,6317,6317,6317,6317,6317,6317,6317
50374,43978,43978,41342,41342,41342,41342,39568,37187,36017,33639,32090,32090,32090,25746,25746,25746,25746,25746,25746,25746,25096,24233,21961,21636,21636,21636,21636,20386,20386,20386,20386,20386,20386,20386,19337,18088,18088,18088,17914,17156,17156,17156,13539,13539,13539,13539,13539,13539,13539,13539,13539,13363,13363,13363,11722,11722,11722,11722,11722,10996,10996,10996,10996,10996,9225,9225,9225,9225,9225,9225,9225,9225,7954,7954,7954,7954,7954,7954,7479,7479,7479,7479,7479,7479,7479,7479,7479,7479,7479,7479,7479,7327,7327,7327,7327,7154,7154,7154,7154
56355,46750,36979,36979,36979,36979,36979,34284,34284,34284,34284,27986,27986,27986,27986,27986,27986,27986,24207,24207,22948,22948,22663,22562,20866,20866,16923,16923,16923,16923,16923,16923,16923,16923,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,14829,14062,14062,14062,13925,13925,13925,13925,13925,13925,8892,8892,8892,8892,8892,8892,8892,8892,8892,8892,8892,8892,8892,8892,8892,8892,8892,8892,8892,8892,8892,8892,8892,8892,6853,6853,6853,6021,6021,6021,6021,6021,6021,6021,6021,6021,6021,6021,6021,6021,6021,6021,6021
51573,51573,51125,44103,44103,40909,36600,36600,33517,33517,33517,31552,31552,31552,30520,30520,30520,30520,27542,20953,20953,20953,20953,20953,20953,20953,20953,20953,20953,20953,20953,20953,20953,19240,19240,19240,19240,17618,17618,17618,17588,17588,17588,17588,17588,17588,17588,17588,17473,17473,17473,17473,11557,11557,11557,11557,11557,11557,11557,11320,11320,11320,11320,11320,11320,11240,11240,11240,11240,11240,10946,10946,10946,10946,10946,10610,10610,10610,10610,10610,10610,7402,7402,7402,5731,5731,5731,5731,5731,5731,5731,5731,5731,5731,5731,5731,5731,5731,5731,5731
54409,45033,40580,37715,37715,37715,37715,32794,26478,26478,26478,26478,26478,26478,26478,26478,23458,23458,23458,23458,23458,23458,19327,19327,19327,19327,19327,19327,19327,19327,18572,18203,18203,18203,18203,18203,18203,18203,18203,18203,18203,18203,18203,18203,16326,16326,16326,16326,10636,10636,10636,10636,10636,10636,10636,10636,10636,10636,9904,9904,9824,9824,9824,9824,9824,9824,8695,8695,8695,8695,8695,8695,8695,7287,7287,7287,7031,7031,7031,7031,7031,7031,7031,7031,7031,7031,7031,7031,7031,7031,6840,6840,6840,6840,6840,6840,6360,6360,6360,6360
47694,47694,45217,43260,38375,29643,29643,29548,29548,29548,29548,29548,26527,26527,26527,25815,25815,25815,25815,25815,21676,21676,21676,21676,19368,19368,19368,18734,18734,18734,18734,18734,17283,17283,17283,16625,16625,16625,16625,12399,12399,12399,12399,12399,12399,12399,12399,12399,12399,12399,12399,12399,12317,12317,10021,10021,10021,10021,10021,10021,10021,10021,10021,10021,10021,10021,10021,10021,10021,10021,10021,8768,8768,8768,8768,8768,8768,8450,8450,8450,8450,7288,7288,7288,7288,7114,7114,7114,7114,7114,6733,5410,5410,5410,5410,5410,5410,5410,5410,5410
38744,38744,38744,38744,38744,38744,36198,35741,35741,35741,33419,28741,28741,21637,21637,21637,21637,21637,21637,20483,20483,20483,20483,20483,17215,17215,16727,16727,16727,16727,16727,16727,16727,16727,16727,16727,16727,16727,16727,16727,16699,15832,15832,15832,15832,15832,15832,15832,15832,15832,14452,14452,14452,14452,14094,14094,14094,12322,12322,12322,12322,12322,12322,12322,10178,10178,10178,10178,10178,10178,9876,9540,9540,9540,9540,9540,9540,9540,9540,9540,9540,9540,7521,7521,7521,7521,7521,7521,7521,7521,7521,7521,7521,7521,7521,5792,5792,5792,5792,5792
48273,42442,38677,37990,37990,37990,33835,25068,25068,25068,25068,25068,25068,25068,25068,25068,25068,25068,23761,23761,23761,23761,23761,21576,21251,21251,21251,21251,21251,21251,21251,20901,20901,20901,17380,17380,17380,17026,17026,17026,17026,17026,17026,17026,15707,15707,15707,15707,15707,15707,15707,15707,15707,15707,13799,13799,13799,13799,13615,13615,13615,13615,12748,12748,12748,12748,11187,11187,11187,11187,11187,11187,11187,11187,11187,11187,11187,9837,9837,9837,9837,9837,9837,9837,9837,9837,9543,9543,7964,7964,7964,7964,7964,7964,7964,7964,7964,7964,7964,7964
40618,40618,39986,39986,39986,35845,34150,34150,33780,33780,33467,33467,32370,32370,30939,30939,30939,24108,24108,24108,19155,19155,19155,19155,19155,19155,19155,19155,19155,19155,19155,15371,15371,15371,15371,15371,15371,15371,15371,15371,15371,11576,11576,11576,11576,11576,11576,11576,11576,11576,11576,11576,11576,11576,11576,11576,11576,11576,11576,11576,11576,11576,11576,11131,11131,11131,11131,11131,11131,11131,11131,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,9161,9161,9161,9161,9161,9161,8651,8651,8651,8651,8651,8651,8651,8651,7650,7650,7650,7193
