Time(ms)
198
197
196
193
194
198
216
195
193
193
196
195
196
194
194
196
194
195
194
194
195
192
195
196
194
196
195
194
195
201
195
194
205
195
193
195
193
197
196
194
194
194
194
195
193
193
196
193
195
194
