Run#,fBest
1,-16686.5
2,-16550.4
3,-17457.4
4,-17214.2
5,-16153.3
6,-16232.5
7,-17335.1
8,-16160.5
9,-16483.3
10,-17210.6
11,-17855.2
12,-17946.9
13,-16891.5
14,-18363.6
15,-17340.8
16,-16841.5
17,-15848
18,-16714.6
19,-17716.5
20,-17509.9
21,-18382
22,-17807.6
23,-17502.8
24,-18032.7
25,-17679
26,-18357
27,-18920.5
28,-17955.1
29,-17513.4
30,-17394.5
31,-17015.1
32,-17263.1
33,-17049.1
34,-18052.9
35,-16783.6
36,-17835
37,-16426.4
38,-16550.9
39,-17249.8
40,-17171.7
41,-16469.3
42,-18093.9
43,-18405.3
44,-17987.4
45,-17894.4
46,-17091.7
47,-17711.9
48,-14751.2
49,-17446.3
50,-16740.5
