Run#,Time(ms)
1,214
2,194
3,202
4,197
5,201
6,203
7,202
8,229
9,219
10,259
11,203
12,207
13,203
14,199
15,203
16,206
17,202
18,194
19,207
20,200
21,215
22,209
23,209
24,210
25,209
26,221
27,228
28,198
29,196
30,204
31,203
32,253
33,195
34,195
35,197
36,197
37,197
38,195
39,194
40,197
41,207
42,205
43,201
44,211
45,242
46,209
47,196
48,242
49,233
50,201
