Run#,f best
11,[-4312.89 -4312.89 -4901.45 -5746.42 -6440.16 -6440.16 -6440.16 -7690.19 -8893.38 -9340.2 -9340.2 -9340.2 -9881.37 -9881.37 -10379.6 -10834.8 -10834.8 -10961.5 -11364.3 -11490.5 -11605.2 -12148.1 -12148.1 -12588.2 -12592.9 -12976.7 -13050.6 -13050.6 -13247.4 -13247.4 -13322.9 -13406.6 -13944.4 -13944.4 -13944.4 -14151.3 -14151.3 -14154.4 -14212 -14256 -14425.1 -14535 -14841.4 -14841.4 -14889.3 -14889.3 -14980 -15447 -15447 -15447 -15447 -15631.7 -15631.7 -15631.7 -15631.7 -15717.3 -15762.4 -15924.1 -15924.1 -15986.6 -15986.6 -16097.7 -16104 -16104 -16104 -16256.7 -16290.4 -16321.3 -16321.3 -16321.3 -16321.3 -16487.6 -16517.3 -16517.3 -16517.3 -16634.8 -16634.8 -16652.7 -16652.7 -16652.7 -16680.8 -16710.6 -16749.4 -17032.9 -17032.9 -17032.9 -17032.9 -17032.9 -17032.9 -17032.9 -17032.9 -17032.9 -17032.9 -17076 -17076 -17076 -17277.9 -17277.9 -17312.4 -17359 ]
12,[-3884.04 -3884.04 -4487.29 -5416.48 -5842.27 -5842.27 -6916.73 -7876.82 -7876.82 -8769.54 -9373.17 -9812.06 -10321.7 -10582.1 -10887.4 -11336.7 -12410.7 -12410.7 -12459.3 -13190.5 -13499.1 -14501.8 -14757.5 -15080.5 -15323.9 -15323.9 -15323.9 -15759.9 -15807.3 -15807.3 -16491.3 -16491.3 -16673.5 -16736.4 -17028.8 -17093.5 -17536 -17536 -17536 -17977.6 -17998.3 -17998.3 -17998.3 -18010.2 -18034.6 -18058.5 -18058.5 -18058.5 -18058.5 -18058.5 -18070.4 -18077.8 -18077.8 -18079.7 -18079.7 -18079.7 -18103.6 -18141.3 -18225.6 -18225.6 -18225.6 -18225.6 -18232.2 -18305.2 -18305.2 -18305.2 -18305.2 -18337.2 -18337.2 -18353.2 -18361.6 -18369 -18369 -18412.5 -18522.6 -18528.4 -18543.2 -18543.2 -18544.4 -18560.2 -18602.5 -18602.5 -18602.5 -18603.8 -18603.8 -18603.8 -18608.4 -18614.8 -18614.8 -18614.8 -18614.8 -18614.8 -18616.8 -18616.8 -18616.8 -18616.8 -18616.8 -18616.8 -18616.8 -18631.1 ]
13,[-3849.74 -4236.38 -4236.38 -5030.07 -5951.54 -6072.78 -7184.24 -7184.24 -7890.5 -7890.5 -8255.77 -8779.85 -9113.88 -9495.1 -9602.8 -9808.52 -10302.3 -10665.2 -10746.1 -10859.4 -11370.2 -11370.2 -11397 -11842 -11842 -11973.2 -12187.9 -12187.9 -12479.1 -12603.9 -12905.1 -13227.5 -13227.5 -13227.5 -13227.5 -13450.7 -13516.4 -13763.6 -14093.7 -14245.2 -14245.2 -14433.1 -14433.1 -14433.1 -14433.1 -14433.1 -14433.1 -14433.1 -14459.4 -14459.4 -14523.1 -14523.1 -14523.1 -14523.1 -14549.5 -14559.1 -14559.1 -14652.6 -14652.6 -14652.6 -14652.6 -14652.6 -14709.8 -14745.8 -14745.8 -14745.8 -14823.4 -14823.4 -14994.6 -14994.6 -14994.6 -15124 -15124 -15124 -15201.6 -15203.7 -15286 -15436.7 -15436.7 -15440.8 -15440.8 -15440.8 -15440.8 -15440.8 -15440.8 -15442.8 -15450.3 -15459.1 -15460.2 -15460.2 -15460.2 -15474.4 -15486.2 -15486.2 -15548.6 -15581 -15581 -15581 -15581 -15637.3 ]
14,[-3568.38 -4774.63 -4774.63 -5696.87 -5696.87 -7109.05 -7507.52 -8411.61 -9017.96 -9017.96 -9047.44 -9047.44 -9746.55 -10017.5 -10526 -10807.3 -10807.3 -10894.9 -11374.6 -11465.2 -11825.9 -11943.8 -12148.3 -12207.9 -12444.6 -12444.6 -12905.3 -12905.3 -12905.3 -13336.3 -13336.3 -13336.3 -13336.3 -13526.7 -14243.6 -14243.6 -14243.6 -14243.6 -14243.6 -14279.6 -14468.1 -14468.1 -14717.9 -14717.9 -14893.1 -14893.1 -14946.5 -15170.4 -15268.5 -15268.5 -15268.5 -15268.5 -15276.7 -15398.3 -15449.3 -15636.2 -15636.2 -15688.3 -15688.3 -15743.1 -15766 -15776.9 -15849.6 -15892 -15892 -15903.3 -15966.9 -15970.7 -15970.7 -15995.6 -16026.2 -16055.3 -16055.3 -16069.1 -16069.1 -16117.6 -16117.6 -16151.9 -16180.3 -16182.5 -16233.7 -16265.6 -16276.8 -16276.8 -16301.8 -16330.2 -16330.2 -16332.3 -16350.5 -16372.9 -16386 -16386 -16416.9 -16416.9 -16437.1 -16437.1 -16437.5 -16453.3 -16461.8 -16461.8 ]
15,[-4070.61 -4070.61 -4991.53 -6278.19 -6278.19 -6278.19 -8293.59 -8293.59 -8293.59 -8511.26 -9222.76 -9222.76 -11844.3 -11844.3 -11844.3 -11844.3 -11844.3 -11844.3 -11844.3 -12233.7 -12233.7 -12233.7 -12233.7 -13173.6 -13173.6 -13173.6 -13341.6 -13534.1 -13534.1 -13534.1 -13667.8 -13999.2 -13999.2 -13999.2 -14049.7 -14056.4 -14286 -14406.5 -14406.5 -14413.1 -14483.8 -14675.5 -14755.4 -14755.4 -14758.1 -14758.1 -15023.6 -15023.6 -15027 -15029.7 -15029.7 -15080.8 -15195.6 -15197.4 -15197.4 -15197.4 -15253.9 -15312.3 -15319.5 -15379.3 -15379.3 -15380.9 -15383.6 -15383.6 -15442.2 -15442.2 -15442.2 -15442.2 -15442.2 -15442.2 -15448.4 -15464.9 -15464.9 -15499.7 -15499.7 -15499.7 -15499.7 -15499.7 -15535.3 -15545.1 -15584.6 -15584.6 -15590.1 -15591.8 -15608.2 -15615.4 -15630.2 -15630.2 -15630.2 -15630.2 -15634.2 -15634.9 -15634.9 -15634.9 -15634.9 -15656.9 -15698.2 -15698.2 -15698.2 -15698.2 ]
16,[-4098.08 -4098.08 -4268.8 -4822.91 -5469.24 -5469.24 -6356.02 -6765.47 -7508.6 -7663.13 -7798.06 -8411.69 -8956.84 -8956.84 -9669.1 -9669.1 -9877.28 -10305.2 -10482 -11092.1 -11528.1 -11796.2 -12421.3 -12636.6 -12636.6 -12636.6 -13202.7 -13441.3 -13505.3 -13623 -13623 -13809.8 -14296.9 -14296.9 -14421.2 -14434.4 -14585.2 -15090.1 -15090.1 -15090.1 -15184.1 -15184.1 -15216.7 -15322.9 -15601.6 -15601.6 -15726.9 -15726.9 -15855.6 -16421.5 -16587.5 -16587.5 -16587.5 -16774.4 -16774.4 -16990.9 -16990.9 -17041.8 -17081.1 -17081.1 -17164.6 -17164.6 -17164.6 -17293 -17293 -17293 -17293.2 -17295 -17329 -17441.7 -17498.2 -17498.2 -17498.2 -17503 -17503 -17558 -17558 -17608.6 -17608.6 -17608.6 -17617.8 -17617.8 -17632.9 -17637.9 -17637.9 -17642.1 -17642.1 -17642.1 -17642.1 -17647.4 -17647.4 -17647.4 -17650.9 -17678.5 -17687.3 -17855.8 -17855.8 -17855.8 -17868.9 -17868.9 ]
17,[-3465.26 -4143.8 -4250.95 -5741.6 -5741.6 -6717.29 -6717.29 -8661.86 -8697.1 -8697.1 -9363.54 -10012.3 -10012.3 -10012.3 -10709.4 -11124 -11329.5 -11794.7 -12736.1 -12736.1 -12736.1 -12736.1 -12891.2 -13082.1 -13574.7 -14187.7 -14271.4 -14271.4 -14715.2 -14715.2 -14715.2 -14836 -14886.7 -14886.7 -15173.1 -15224.8 -15224.8 -15224.8 -15224.8 -15426 -15426 -15548 -15548 -15548 -15559.6 -15559.6 -15749.8 -15749.8 -15749.8 -15749.8 -15749.8 -15749.8 -15754.8 -15861.3 -15861.3 -15885 -16105.2 -16105.2 -16105.2 -16105.2 -16178.2 -16184 -16265.5 -16281.6 -16300.1 -16331.1 -16434.7 -16434.7 -16434.7 -16493.4 -16510.2 -16538.2 -16538.2 -16565.7 -16613.7 -16613.7 -16669.1 -16686.3 -16713.1 -16713.1 -16749.9 -16808.2 -16808.2 -16808.2 -16808.2 -16808.2 -16808.2 -16808.2 -16832.3 -16894.2 -16894.2 -16894.2 -16894.2 -16894.2 -16894.2 -16894.2 -16894.2 -16894.2 -16894.2 -16909.5 ]
18,[-3549.62 -3686.92 -5299.42 -5299.42 -5385.58 -6482.96 -7223.52 -7223.52 -8121.26 -8457.14 -8457.14 -8855.09 -8925.88 -10533.2 -10533.2 -10994 -11262.8 -12146.2 -12146.2 -12146.2 -12592.8 -12592.8 -12592.8 -12999.8 -13288.3 -13364.2 -13772.7 -14675.8 -14764.9 -14764.9 -14764.9 -15339.2 -15339.2 -15700.6 -15700.6 -15700.6 -15700.6 -15765.6 -15785.7 -15796.4 -15882.5 -15882.5 -15932.1 -15932.1 -15965 -16108.8 -16114.8 -16121.1 -16157.5 -16288.1 -16288.1 -16349 -16440.4 -16440.4 -16440.4 -16440.4 -16556.2 -16567.3 -16608.9 -16608.9 -16679.9 -16679.9 -16684.5 -16710.9 -16911.7 -16911.7 -16911.7 -16911.7 -16911.7 -16912.1 -16941.9 -16946.5 -17047 -17061.9 -17071.3 -17114.1 -17114.1 -17118.7 -17118.7 -17125 -17155.3 -17155.3 -17155.3 -17160.4 -17160.4 -17160.4 -17161.9 -17168.2 -17168.2 -17181.3 -17181.3 -17212.4 -17212.4 -17212.4 -17212.4 -17212.4 -17212.4 -17212.4 -17213.5 -17213.5 ]
19,[-4283.61 -5206.45 -5693.19 -5844.69 -5844.69 -5844.69 -6719.13 -7359.25 -8505.86 -8505.86 -8505.86 -8612.33 -9535.3 -9853.78 -9853.78 -10214.3 -10214.3 -10765.9 -10765.9 -10810.7 -12614 -12614 -12614 -12614 -12674.9 -12736.1 -13243.1 -13393.6 -13565.6 -13670.2 -13719 -14022.7 -14245.7 -14351.8 -14351.8 -14869.2 -15338.4 -15338.4 -15338.4 -15338.4 -15348.4 -15374 -15389.9 -15389.9 -15405.2 -15515.3 -15526 -15526 -15526 -15634.1 -15717.4 -15768.1 -15768.1 -15932.3 -15932.3 -15932.3 -15933.1 -15936.1 -16090.6 -16090.6 -16220.2 -16220.2 -16220.2 -16225 -16238.4 -16238.4 -16238.4 -16262 -16262 -16262 -16262 -16363.9 -16363.9 -16372 -16475.4 -16475.4 -16475.4 -16475.4 -16488.6 -16489.7 -16571.6 -16571.6 -16571.6 -16590.2 -16590.2 -16604.5 -16604.7 -16637 -16637 -16650.8 -16682.8 -16685 -16734.3 -16734.3 -16779.1 -16779.1 -16779.1 -16783.3 -16799.7 -16799.7 ]
20,[-4147.67 -4728.48 -6315.14 -6315.14 -6315.14 -6755.84 -7920.23 -7920.23 -7920.23 -7920.23 -9180.27 -10496.4 -10496.4 -10496.4 -10643.5 -10724.3 -11310.3 -11550.4 -11697.6 -12194.4 -13432.7 -13432.7 -13432.7 -13432.7 -13432.7 -14181.4 -14181.4 -14234.9 -14451.7 -14500.6 -14896.2 -15176.3 -15176.3 -15176.3 -15177 -15526.7 -15603 -15603 -15697.8 -15697.8 -15740.8 -16040.2 -16040.2 -16040.2 -16040.2 -16047.5 -16047.7 -16047.7 -16052.1 -16117.2 -16117.2 -16117.2 -16192.6 -16227.3 -16276.1 -16288 -16297.4 -16297.4 -16297.4 -16370.7 -16370.7 -16370.7 -16435.1 -16435.1 -16435.1 -16435.1 -16439.7 -16439.7 -16441.9 -16447.9 -16447.9 -16447.9 -16453 -16453 -16458.1 -16464.5 -16464.5 -16464.5 -16481.4 -16481.4 -16481.4 -16481.4 -16494.1 -16494.1 -16494.5 -16494.5 -16494.5 -16494.5 -16499.1 -16519.8 -16519.8 -16519.8 -16519.8 -16519.8 -16519.8 -16519.8 -16519.8 -16519.8 -16519.8 -16519.8 ]
