Time(ms)
160
165
162
159
158
161
159
166
163
159
157
158
161
157
159
161
158
160
163
159
158
162
160
159
161
158
161
166
159
159
160
160
158
159
162
160
160
161
158
159
160
158
158
160
159
158
161
158
157
160
