Time(ms)
213
213
207
210
209
212
210
211
207
206
210
210
213
208
209
210
208
212
208
209
208
207
209
207
209
211
209
208
208
209
208
238
207
208
209
208
217
208
210
207
209
213
208
211
209
207
209
208
211
209
