Time(ms)
174
175
169
171
170
168
171
172
168
170
172
170
175
174
171
170
169
167
171
170
169
170
169
169
171
169
169
170
169
169
169
169
169
171
168
169
171
168
179
186
169
170
175
174
169
171
169
171
170
171
