Run#,fBest
1,-37.4757
2,-37.7132
3,-38.7448
4,-36.813
5,-37.5285
6,-37.7195
7,-37.4531
8,-35.338
9,-37.1212
10,-36.3485
11,-37.6748
12,-39.3324
13,-37.6427
14,-36.6032
15,-36.5534
16,-37.715
17,-37.3828
18,-37.9866
19,-38.8413
20,-37.4857
21,-36.1104
22,-36.008
23,-37.556
24,-36.7826
25,-36.7384
26,-37.9152
27,-36.8752
28,-38.8393
29,-37.2889
30,-38.2375
31,-38.229
32,-36.194
33,-36.8869
34,-37.0485
35,-38.9056
36,-36.8995
37,-36.2706
38,-37.6637
39,-37.2202
40,-38.1928
41,-37.8392
42,-39.3908
43,-38.9306
44,-38.2536
45,-37.4289
46,-39.0967
47,-37.7402
48,-38.4845
49,-37.8779
50,-37.6065
