Run#,f best
11,[9.33202 9.33202 9.33202 8.68816 8.16735 7.5975 7.5975 6.57127 6.13863 6.10973 5.66447 5.03949 4.39602 4.39602 4.1598 2.75581 2.59742 2.59742 1.74187 0.370808 0.370808 0.261165 -0.448625 -0.464783 -0.622422 -2.9879 -2.9879 -2.9879 -2.9879 -3.00299 -3.03108 -3.27419 -3.28928 -3.28928 -3.35439 -3.80292 -4.08004 -4.12842 -4.13874 -4.48908 -4.48908 -5.11181 -5.2363 -5.43983 -5.71359 -5.95876 -5.98742 -6.27646 -6.27646 -6.27646 -6.3048 -6.3857 -6.43296 -6.4757 -6.4757 -6.99001 -6.99001 -7.05292 -7.05292 -7.05292 -7.05292 -7.05292 -7.05292 -7.05292 -7.05292 -7.18969 -7.18969 -7.18969 -7.18969 -7.23865 -7.58164 -7.78132 -7.78132 -8.01303 -8.01303 -8.13149 -8.16696 -8.16696 -8.16696 -8.21252 -8.21252 -8.35184 -8.36645 -8.36645 -8.53174 -8.53174 -8.61522 -8.61522 -8.61522 -8.61522 -8.61522 -8.61522 -8.78051 -8.79512 -8.79512 -8.81131 -8.81131 -8.81131 -8.81131 -8.81131 ]
12,[11.0402 10.0748 8.93482 8.93482 8.04673 8.04673 7.79143 7.15607 6.46191 4.54129 4.53825 4.23564 3.92732 2.08749 1.88147 1.88147 1.30978 0.775702 -0.422303 -0.422303 -1.05386 -1.05386 -1.71788 -1.71788 -1.73335 -1.82633 -2.26755 -2.26755 -2.26755 -2.3313 -2.39354 -2.6384 -3.08131 -3.08131 -3.45375 -3.45375 -3.88575 -3.88575 -3.88575 -4.49621 -4.73267 -4.73298 -4.85261 -5.12413 -5.39112 -5.81278 -5.81278 -5.81278 -5.81278 -6.08072 -6.08072 -6.0896 -6.0896 -6.13375 -6.16007 -6.16936 -6.34941 -6.35848 -6.35848 -6.35848 -6.6358 -6.6358 -6.6358 -6.89511 -6.89511 -6.9045 -6.98043 -6.98043 -6.98043 -7.086 -7.086 -7.11935 -7.11935 -7.13538 -7.14165 -7.42795 -7.42795 -7.42795 -7.57387 -7.5965 -7.5965 -7.73271 -7.89905 -8.06795 -8.3052 -8.4009 -8.4009 -8.44462 -8.56818 -9.84824 -9.84824 -9.84824 -9.84824 -10.0167 -10.0167 -10.0601 -10.0601 -10.5129 -11.3252 -11.3252 ]
13,[10.1224 9.36899 9.36899 9.30397 7.08013 6.7885 6.53484 3.91649 3.91649 3.91649 3.91649 2.01704 2.01704 2.01704 2.01704 1.71997 1.55664 1.24666 -0.143844 -0.143844 -0.143844 -0.203925 -0.630111 -0.630111 -1.22458 -1.26523 -1.26523 -1.99261 -1.99261 -2.23009 -2.61879 -2.61879 -2.61879 -2.61879 -2.94409 -3.07484 -3.07484 -3.40271 -3.40271 -3.42246 -3.46326 -3.94841 -3.96746 -3.96746 -3.96746 -4.03139 -4.03139 -4.03747 -4.18119 -4.21735 -4.30865 -4.39168 -4.39168 -4.39168 -4.39168 -4.39168 -4.46659 -4.4749 -5.11394 -5.11394 -5.31463 -5.31716 -5.3731 -5.37384 -5.43374 -5.45911 -5.45911 -5.45911 -5.49162 -6.00122 -6.00122 -6.30515 -6.58309 -6.61243 -6.61243 -6.61243 -6.61761 -6.79566 -7.42005 -7.42005 -7.42005 -7.64401 -7.77296 -7.77296 -7.77296 -7.987 -7.987 -8.65123 -8.65123 -8.65123 -8.86528 -8.9442 -8.9442 -8.9442 -8.9442 -8.9442 -9.15824 -9.15824 -9.15824 -9.16846 ]
14,[10.3426 10.3422 10.3422 8.87689 8.21756 7.58674 6.66961 6.41722 5.89855 5.29688 5.1864 4.15896 3.05871 3.05871 1.76391 1.76391 1.76391 1.76391 1.76391 1.17228 0.638089 0.0655303 0.0655303 -0.111863 -0.74067 -2.96068 -2.96068 -3.18312 -3.18312 -3.18312 -3.32169 -5.15844 -5.38746 -5.38746 -6.18304 -6.27653 -6.27653 -6.73987 -6.73987 -7.03388 -7.03388 -7.03389 -7.03389 -7.07366 -7.78196 -7.78196 -8.35167 -8.49405 -8.49405 -8.49405 -8.75817 -9.24239 -9.24239 -9.24239 -9.24239 -9.24239 -9.24239 -9.24239 -9.24239 -9.24239 -9.31838 -9.77598 -9.77598 -10.0064 -10.0064 -10.0064 -10.0064 -10.54 -10.54 -10.54 -10.6072 -10.6072 -10.6072 -10.6072 -10.6072 -10.6852 -10.6852 -10.6937 -11.1776 -11.1776 -11.1776 -11.1776 -11.1776 -11.1776 -11.1776 -11.1776 -11.3791 -11.3791 -11.7904 -11.7904 -11.7904 -11.7904 -11.7904 -11.7904 -11.7904 -11.7904 -11.7943 -11.7943 -11.7943 -12.6624 ]
15,[10.8982 10.4307 10.326 8.39438 7.63621 7.61084 7.5184 5.83887 5.83887 5.79084 5.6047 4.92586 4.61255 3.14595 1.71369 1.71369 1.4452 1.01533 -0.294257 -0.294257 -2.36779 -3.86665 -3.86665 -3.86665 -4.57589 -4.57589 -4.57589 -4.90008 -4.90008 -5.37551 -5.71804 -5.71804 -5.71804 -6.89917 -6.89917 -6.89917 -6.89917 -6.89917 -6.89917 -7.01098 -7.01098 -7.3632 -7.3632 -7.3632 -7.76147 -7.76147 -7.76147 -7.84902 -7.84902 -8.09836 -8.72051 -8.74382 -8.74382 -8.9069 -8.9069 -9.81221 -9.81221 -10.2212 -10.3002 -10.5301 -10.5301 -10.5301 -10.5301 -10.5568 -10.5568 -10.9122 -10.9122 -10.9122 -10.9122 -10.9122 -10.9122 -11.0392 -11.0392 -11.1629 -11.342 -11.342 -11.4893 -11.4893 -11.5292 -11.6453 -11.8244 -11.8244 -11.8244 -12.0337 -13.2735 -13.4815 -13.8699 -13.8699 -13.8699 -14.049 -14.1635 -14.1635 -14.1635 -14.42 -14.42 -14.42 -14.42 -14.524 -14.524 -14.524 ]
16,[10.5357 10.5357 9.90978 9.84486 7.79395 7.79395 7.67385 6.54577 5.98659 5.52153 5.34027 5.23326 3.76715 3.76715 3.76715 1.65713 1.65713 1.65713 1.65713 0.294718 0.294718 0.294713 -1.1317 -1.1317 -1.1317 -1.1317 -1.2269 -1.44888 -1.63611 -3.26813 -3.26813 -3.26813 -3.26813 -3.26813 -3.26813 -3.48933 -3.48933 -3.48933 -3.72863 -3.72863 -3.72863 -4.44026 -4.44026 -4.44026 -4.44068 -5.00844 -5.00844 -5.00844 -5.00844 -5.00844 -5.00868 -5.64303 -5.64303 -5.96973 -5.96992 -5.97022 -5.97161 -6.21347 -6.21347 -6.63946 -6.64135 -7.15692 -7.15692 -7.15692 -7.15692 -7.15692 -7.44711 -7.69079 -7.96276 -7.96289 -7.96289 -8.20643 -8.20656 -8.2066 -8.31257 -8.43014 -8.43014 -8.43014 -8.43014 -8.43014 -8.43014 -8.43014 -8.51062 -8.60086 -8.70699 -8.70699 -8.72042 -8.72049 -8.72081 -8.72517 -8.82457 -8.85449 -8.85449 -8.85449 -9.01151 -9.01151 -9.01151 -9.01151 -9.05309 -9.05315 ]
17,[10.8817 10.7806 10.5301 9.64181 9.1393 8.02795 7.6769 7.55766 5.87841 5.87841 5.62737 3.72781 3.72781 3.59692 2.00364 2.00364 1.74447 1.15868 0.547974 0.532477 0.17175 -1.27976 -1.27976 -1.30132 -1.55102 -1.55102 -2.22481 -2.73292 -2.88772 -2.97335 -3.30487 -4.17571 -4.17571 -4.17571 -4.17571 -4.45263 -4.47478 -5.15637 -5.18543 -5.72206 -5.72206 -6.35417 -6.35417 -6.35417 -6.35417 -6.35417 -6.35417 -6.35417 -6.35417 -6.35417 -6.35417 -6.35417 -6.35417 -6.35417 -6.35417 -6.35417 -6.35417 -6.35417 -6.53738 -6.53738 -6.53738 -6.53738 -6.53738 -6.85098 -6.97298 -6.97298 -6.98667 -7.01852 -7.01852 -7.01852 -7.66326 -7.66326 -7.66326 -7.66326 -7.66326 -7.92442 -7.92442 -8.37371 -8.37371 -8.44083 -8.50997 -8.63468 -8.82872 -8.82872 -8.82872 -8.82872 -8.98636 -8.98636 -9.10214 -9.10214 -9.10214 -9.14453 -9.30248 -9.30248 -9.38417 -9.38417 -9.38417 -9.43283 -9.47521 -9.59439 ]
18,[9.8688 9.8292 9.56615 9.33095 7.18486 7.06597 7.06597 6.61455 5.81155 5.81155 4.84837 4.84837 3.57978 1.8736 1.8736 1.8736 1.38581 -0.670423 -0.670423 -0.670423 -0.829492 -1.91002 -2.16622 -2.33304 -2.66734 -2.96351 -3.24044 -5.19471 -5.19471 -5.19471 -5.19471 -5.33803 -6.21317 -6.38859 -7.05992 -7.63415 -7.64273 -7.64273 -8.54855 -8.54855 -8.54855 -8.94671 -8.94671 -9.27164 -9.27164 -9.27164 -9.27164 -9.27164 -9.27164 -9.66186 -9.66186 -9.66186 -9.72925 -9.98149 -10.1416 -10.1424 -10.633 -10.633 -10.633 -10.633 -10.633 -10.633 -10.8735 -10.8735 -11.5 -11.5 -11.5 -11.527 -11.527 -11.8191 -12.0237 -12.0237 -12.0237 -12.0237 -12.4627 -12.4627 -12.4627 -12.4627 -12.7147 -12.7147 -12.7147 -12.8093 -13.0077 -13.0107 -13.0107 -13.2323 -13.2323 -13.2324 -13.2698 -13.4728 -13.4888 -13.5352 -13.6282 -13.6282 -13.6282 -13.6441 -13.6441 -13.8024 -13.8024 -13.8024 ]
19,[10.3383 9.43021 9.22136 8.49286 8.49286 7.59903 7.49858 6.75651 5.8438 5.8438 4.39216 4.39216 4.06151 3.6819 2.62075 2.16537 1.9902 1.33199 -0.788218 -0.788218 -0.788218 -1.11867 -1.11872 -1.98863 -1.98863 -2.76305 -2.8103 -3.06978 -3.60254 -3.60254 -4.37285 -4.83834 -4.83834 -4.89831 -4.98593 -4.98593 -5.21842 -5.24723 -5.58184 -5.58184 -5.58184 -5.70186 -5.70186 -6.00308 -6.29271 -6.32429 -6.32429 -6.32429 -6.36701 -6.85213 -7.10945 -7.33652 -7.33652 -7.43573 -7.53039 -7.77844 -8.17818 -8.17818 -8.17818 -8.3294 -8.3294 -8.3294 -8.57736 -8.57741 -8.57741 -8.57741 -8.57742 -8.57742 -8.57759 -8.57759 -8.57759 -8.72657 -8.72657 -8.72657 -8.72657 -8.72657 -8.72657 -8.72657 -8.72657 -8.72657 -8.72657 -8.85144 -8.85144 -8.85144 -8.85144 -8.86023 -8.86023 -8.86024 -9.00153 -9.00939 -9.12935 -9.12935 -9.20161 -9.2104 -9.2104 -9.27859 -9.27859 -9.27859 -9.27859 -9.27859 ]
20,[11.5041 11.5041 10.2393 10.2061 9.96618 7.95396 7.95396 7.43724 7.08534 5.71031 5.71031 4.77585 3.68051 3.68051 3.68051 1.9698 1.35446 1.35446 1.29382 1.0917 0.872701 -0.429709 -0.821479 -1.39679 -2.00293 -2.00293 -2.00293 -2.00293 -2.00293 -2.26222 -2.47136 -2.52081 -3.74315 -3.74315 -4.43592 -4.60687 -4.99017 -4.99017 -4.99017 -4.99156 -5.16702 -5.25226 -5.52656 -5.52656 -5.87608 -6.04978 -6.05291 -6.05291 -6.87346 -6.87348 -6.87348 -6.87348 -7.21984 -7.21984 -7.21985 -7.21985 -7.21987 -7.21987 -7.62685 -7.62685 -7.62685 -7.62685 -7.72104 -7.72104 -7.72104 -7.72265 -7.72265 -7.74464 -8.41876 -8.59735 -8.59735 -8.59896 -8.65159 -8.67848 -8.67848 -8.67848 -8.68072 -8.68072 -8.68072 -8.70646 -8.76066 -8.76454 -8.76454 -8.78921 -8.84404 -8.84404 -8.84404 -8.84408 -8.84408 -8.84408 -8.84408 -9.05249 -9.05249 -9.05249 -9.05249 -9.05249 -9.05249 -9.05249 -9.05249 -9.05249 ]
