Run#,f best
11,[1.36035e+06 1.36035e+06 1.36035e+06 1.36035e+06 1.36035e+06 1.28508e+06 1.03963e+06 1.03963e+06 924751 877655 869850 615050 615050 601004 409812 409812 409812 372269 344528 235951 229420 229420 190760 190760 180765 178264 146013 145192 139294 139294 135215 135215 121920 111370 111370 109168 109168 108694 106541 100872 89477.8 89477.8 84998.3 80798 80798 75576.1 73807.1 67261.8 65933.3 64088.2 60886.5 60031.7 56920.4 55376.5 51002 49313.1 46954.3 44673.9 44673.9 39686.9 39445.4 39445.4 32357 31421.4 27456.8 24678.7 24678.7 23261.8 16864 14864.9 13979.3 9929.4 7837.8 3785.62 242.243 -2721.93 -2721.93 -4469.27 -4791.17 -9104.38 -9104.38 -10543.3 -10577.2 -11880.6 -13062.4 -13098.3 -14620.1 -14789.8 -15893.2 -15893.2 -15893.2 -16222.3 -16222.3 -18822.9 -18822.9 -18822.9 -18822.9 -19354.3 -19354.3 -20472.5 ]
12,[1.48515e+06 1.48515e+06 1.22743e+06 1.18836e+06 1.03617e+06 1.03617e+06 816811 678236 595949 573543 573543 540896 485984 446794 396811 357623 344697 301075 301075 259700 259700 226832 210473 199159 176529 168884 168884 168557 154990 141227 141227 134959 125423 111658 104566 76844.5 76844.5 71105.6 71105.6 71105.6 70491.8 59121.7 58059.2 52811.9 52811.9 52811.9 48963.3 48963.3 48207.8 44958.5 40266.2 38345.2 38345.2 33874 31106.2 29296.4 27740.4 22095.3 22095.3 22095.3 20723 16691.7 11406.7 7666.58 7666.58 7666.58 7440.73 4441.01 3544.75 3544.75 1623.43 1549.42 -356.899 -1158.75 -3679.52 -3679.52 -4091.27 -7220.66 -7220.66 -7220.66 -7839.38 -7839.38 -7946.44 -8624.06 -9650.2 -10329.4 -11146.1 -11634.9 -12297.5 -14834.8 -14834.8 -15399.1 -15779.4 -15779.4 -18523.3 -18523.3 -20284.8 -20962.5 -23345.4 -23626.8 ]
13,[1.48537e+06 1.44131e+06 1.29122e+06 1.21302e+06 1.01789e+06 1.01789e+06 950496 835446 827259 784287 669319 645680 609484 527470 452204 381772 379448 362071 336767 271329 259695 245736 233982 233982 233982 229573 216871 201986 178708 178708 176905 175508 156463 156463 143970 135440 127855 127855 118115 118115 109912 105751 105751 80937.5 80937.5 80937.5 80937.5 80937.5 80937.5 80565.2 79858.1 75391 72096.1 72096.1 64344 61650.6 53843.5 53843.5 48739.3 48739.3 48739.3 48739.3 48739.3 48739.3 47506.2 47454.6 43567.4 43567.4 39808.7 39808.7 38763.5 36999.1 36999.1 34981.4 34661.2 31932.3 30767.4 27640.4 27640.4 27640.4 23912.5 20818 17974.9 17974.9 17730.5 17730.5 17730.5 17730.5 17157.2 14247 14247 14247 13082 11295 11072.9 10130.1 10130.1 7999.8 6909.35 6909.35 ]
14,[1.6445e+06 1.6445e+06 1.55734e+06 1.35841e+06 946228 946228 946228 889551 772916 748382 565519 550334 522620 504395 491927 360496 360496 352882 352882 309663 309663 267982 267982 267982 239061 239061 234279 198143 198143 184174 184174 154611 154611 154611 153233 141570 140337 140337 140337 129663 118978 118978 115840 115840 115840 112256 107710 107710 102698 102698 99661.2 94661.9 94661.9 92645.9 91467.3 89227.2 86898.2 86898.2 86464.1 85245.3 80765.5 80765.5 77146.3 77146.3 77146.3 74336 72875 70645.7 68589.1 64761 64287 60281.2 59683.6 59683.6 57734.6 57734.6 57734.6 55328.7 55328.7 52962.6 52962.6 52962.6 52962.6 49833.6 49833.6 49453.7 48942.7 47043.2 47043.2 47043.2 47043.2 46998.6 45992.8 45336.4 44146.1 44146.1 43654.7 43054.1 41785.2 41785.2 ]
15,[1.4629e+06 1.45262e+06 1.45262e+06 1.28399e+06 1.22488e+06 1.15077e+06 993431 993431 907601 765264 516881 516881 516881 459302 440385 357740 357740 353888 332330 305020 238844 235319 193116 184534 168054 144101 144101 128127 127113 104042 104042 102598 87968.5 87968.5 87968.5 75244.8 75143 70346.6 62545.7 53277.9 48963.6 45312.7 40530.2 35383.5 35383.5 30178.6 30063.7 26672.2 21466 21466 20112.1 18293.8 12475.4 12475.4 12475.4 9053.11 8878.69 8191.45 5075.92 2633.43 1147.78 1147.78 534.69 -3471.7 -3471.7 -5492.57 -8866.35 -8866.35 -8948.89 -8948.89 -9046.51 -11439.9 -11935.1 -13539.6 -13539.6 -16852.7 -17789.2 -17789.2 -17789.2 -20440.1 -22202.2 -22966 -23141.9 -23171.7 -23171.7 -25380 -25380 -25380 -25413.3 -26143.9 -26893.2 -28279.9 -29894.7 -29894.7 -30265.9 -31313.5 -31313.5 -31313.5 -32165 -32174.1 ]
16,[1.37086e+06 1.37086e+06 1.37086e+06 1.35532e+06 1.23603e+06 936965 936965 936965 936965 849744 835080 667066 596810 560158 560158 549671 514932 473098 403787 380090 331243 294526 284493 258093 246088 246088 220115 220115 220115 220115 218311 173745 155237 155237 155237 155222 140306 140306 121761 121761 116614 95282.2 93963.3 93963.3 86634.6 85609.2 84240.7 81174.1 78155.4 73467.4 68524.9 64907.5 64907.5 61935 55303.4 55303.4 48510.3 47299.3 47299.3 43152.7 40380.2 39056.6 38805.4 38805.4 32225.6 32225.6 32225.6 29179.4 27889.8 23158.1 23158.1 23158.1 21792.5 21203 20059 18325.7 15422.5 15288.7 14685.8 7261.17 7261.17 7261.17 7046.43 5521.25 4046.28 4046.28 3154.91 1553.05 972.887 -539.17 -539.17 -2039.19 -2090.42 -2100.04 -4209.58 -6616.71 -6616.71 -9147.6 -10746.6 -10746.6 ]
17,[1.41103e+06 1.41103e+06 1.41103e+06 1.19074e+06 1.03005e+06 874436 837770 837770 748617 661370 591569 591569 567957 521134 451705 412152 391370 344169 344169 322616 322616 291238 291238 284980 204629 189855 189855 189855 177907 166040 156179 141618 141618 138270 129010 114018 109216 92366.2 92366.2 92366.2 81311.5 81311.5 72244.7 72244.7 71480.1 67625.1 62203.6 58790.6 58790.6 58790.6 50036.2 46885.3 42713.6 42713.6 36889.2 34303.3 31475.1 31475.1 29753.4 25603.8 21911.2 21911.2 20658.7 20658.7 18443.1 18443.1 15327.6 14309.7 12302.9 11812.9 7152.29 7152.29 4613.46 4613.46 636.577 636.577 -2696.82 -5986.95 -5986.95 -5986.95 -7799.38 -8257.86 -8257.86 -8513.87 -9842.22 -10679.6 -11873.4 -11873.4 -12071.3 -12071.3 -13930.5 -13992.9 -15245.9 -16777.8 -17991.5 -17991.5 -18125.6 -18125.6 -19278 -19278 ]
18,[1.67882e+06 1.55543e+06 1.55045e+06 1.42824e+06 1.23894e+06 1.20304e+06 1.17686e+06 1.06126e+06 992147 843061 689975 689975 646884 595514 595514 463874 463874 446267 438323 434555 418513 389058 362876 361759 314721 301810 297514 244708 200622 200622 170877 170877 170877 137526 130497 130497 121478 116886 114109 114109 100035 100035 99682.4 91955 89437.5 87288.3 83238.4 83185.9 76149.5 71482.9 67621.7 66872.8 61660.4 61621.4 55448.3 52178.8 50184.3 47681.8 44157.4 44157.4 37958.2 36617.6 34096.1 32064.2 32064.2 27490.9 25899.9 24307.9 21271.6 19057.6 18051.6 16120.8 14393.7 14393.7 12544.8 11835.9 10383.9 7756.5 7756.5 6438.16 3683.91 3546.3 3546.3 2837.4 1430.9 -292.543 -292.543 -2533.93 -2533.93 -5674.36 -5674.36 -5674.36 -5674.36 -5674.36 -7465.64 -7558.11 -7558.11 -7789.76 -9620.96 -9620.96 ]
19,[1.44344e+06 1.24702e+06 1.24702e+06 1.24702e+06 1.15437e+06 1.03691e+06 919434 868810 640428 638215 602065 561235 514345 514345 424157 424157 382194 372167 353614 307171 292130 288643 247901 237821 199473 199465 145601 120769 120769 120769 120769 120769 115670 111475 104120 98432.9 98432.9 98432.9 92822.5 81815.4 72715.1 72715.1 71187 71187 63341.8 63341.8 59084.7 56060.1 48400.1 48400.1 46162.7 33885.8 33885.8 33885.8 33885.8 31009.8 28923.5 28923.5 26635.5 24677.4 22430.1 14355.6 14355.6 13091.5 13091.5 11419.3 11419.3 11419.3 8956.1 8956.1 8956.1 6449.53 6449.53 4252.54 2850.47 2850.47 505.502 -645.569 -1840.74 -2586.33 -2586.33 -3269.02 -5481.88 -5481.88 -5481.88 -7092.3 -7092.3 -7960.96 -7960.96 -7960.96 -7960.96 -11027.4 -11027.4 -11027.4 -11027.4 -11189.9 -11189.9 -11856.6 -13838.7 -14093.6 ]
20,[1.40499e+06 1.40499e+06 1.24989e+06 1.13603e+06 1.02939e+06 798780 798780 772624 755239 687917 666482 641683 614505 519649 502489 502489 443997 443997 437932 389952 369050 338157 313767 297261 297261 233052 233052 233052 225276 211642 186964 174555 173608 165251 165251 156316 141714 135970 127149 127149 125441 125441 117716 114241 105569 105569 105569 99150.5 99150.5 94003.7 91702.8 87817.7 80923.6 76825.2 76825.2 72205.4 72205.4 72205.4 65522.7 65522.7 59413.9 59403.9 47278.1 47278.1 47278.1 47278.1 45409.2 42330.8 42266.1 38480.1 36112.6 34660.7 34660.7 32252.4 30675.5 30002.5 27823.9 27749.3 27627.1 26179.2 25315.4 24164.3 24164.3 23615.2 21938.4 20742.3 20742.3 20742.3 20541.4 19369.7 18891.6 18891.6 17900 17848.9 16077.6 16077.6 16077.6 15653.8 15653.8 15653.8 ]
