Run#,fBest
1,-11.1753
2,-11.827
3,-11.0082
4,-11.0491
5,-11.737
6,-14.4053
7,-11.8293
8,-10.304
9,-10.6113
10,-12.0993
11,-12.0729
12,-11.3352
13,-14.5265
14,-13.9553
15,-11.6815
16,-11.241
17,-9.74874
18,-9.92972
19,-10.279
20,-12.0773
21,-13.6167
22,-10.4014
23,-8.27003
24,-12.3604
25,-11.3142
26,-9.56916
27,-10.3773
28,-10.8855
29,-10.9727
30,-12.5506
31,-11.9794
32,-11.1541
33,-9.83996
34,-10.0331
35,-11.2854
36,-10.5445
37,-10.6177
38,-8.53162
39,-9.96342
40,-10.7122
41,-12.4621
42,-7.4848
43,-8.44367
44,-8.91288
45,-8.59256
46,-10.7859
47,-10.2691
48,-12.2569
49,-8.22024
50,-9.74285
